('Total Revenue', '416,161,000', '416,161,000', '391,035,000', '383,285,000', '394,328,000')
         994897 function calls (970974 primitive calls) in 2.566 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    91932    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
73175/67349    0.009    0.000    0.010    0.000 {built-in method builtins.len}
68072/68052    0.008    0.000    0.008    0.000 {built-in method builtins.isinstance}
    37619    0.022    0.000    0.022    0.000 {method 'match' of 're.Pattern' objects}
    34633    0.005    0.000    0.005    0.000 {method 'append' of 'bytearray' objects}
    30046    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
    26348    0.007    0.000    0.010    0.000 _parser.py:167(__getitem__)
    22912    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
    22491    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
    22000    0.006    0.000    0.006    0.000 {method 'group' of 're.Match' objects}
    20691    0.004    0.000    0.004    0.000 _parser.py:239(__next)
    18353    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
    16563    0.005    0.000    0.009    0.000 _markupbase.py:44(updatepos)
    13604    0.001    0.000    0.001    0.000 {built-in method builtins.min}
    13107    0.001    0.000    0.001    0.000 typing.py:2371(cast)
    12948    0.004    0.000    0.006    0.000 _parser.py:260(get)
    12418    0.006    0.000    0.006    0.000 {method 'search' of 're.Pattern' objects}
    12119    0.004    0.000    0.004    0.000 {method 'count' of 'str' objects}
    12114    0.006    0.000    0.006    0.000 element.py:382(setup)
    11571    0.002    0.000    0.003    0.000 _parser.py:163(__len__)
    10681    0.002    0.000    0.003    0.000 _parser.py:255(match)
     9601    0.002    0.000    0.007    0.000 __init__.py:122(unescape)
9395/9360    0.004    0.000    0.014    0.000 typing.py:426(inner)
     9238    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
9143/9142    0.002    0.000    0.008    0.000 {built-in method builtins.next}
     8792    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
     8640    0.007    0.000    0.033    0.000 __init__.py:829(endData)
     8515    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     8455    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     8200    0.002    0.000    0.002    0.000 element.py:3090(descendants)
     8173    0.003    0.000    0.010    0.000 filter.py:726(match)
     7661    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
