('Total Revenue', '416,161,000', '416,161,000', '391,035,000', '383,285,000', '394,328,000')
         943565 function calls (919115 primitive calls) in 7.878 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    170/1    0.001    0.000    7.878    7.878 {built-in method builtins.exec}
        1    0.001    0.001    7.878    7.878 financial.py:1(<module>)
        1    0.000    0.000    7.628    7.628 financial.py:9(get__dataFinancial)
        1    5.005    5.005    5.005    5.005 {built-in method time.sleep}
        1    0.000    0.000    2.386    2.386 api.py:62(get)
        1    0.000    0.000    2.386    2.386 api.py:14(request)
        1    0.000    0.000    2.385    2.385 sessions.py:500(request)
      2/1    0.000    0.000    2.373    2.373 sessions.py:673(send)
      350    0.001    0.000    2.016    0.006 socket.py:706(readinto)
      350    0.001    0.000    2.015    0.006 ssl.py:1289(recv_into)
      350    0.001    0.000    2.013    0.006 ssl.py:1129(read)
      350    2.013    0.006    2.013    0.006 {method 'read' of '_ssl._SSLSocket' objects}
        2    0.000    0.000    1.878    0.939 adapters.py:590(send)
        2    0.000    0.000    1.875    0.937 connectionpool.py:592(urlopen)
        2    0.000    0.000    1.874    0.937 connectionpool.py:377(_make_request)
      3/2    0.000    0.000    1.819    0.909 sessions.py:159(resolve_redirects)
        2    0.000    0.000    1.544    0.772 connection.py:540(getresponse)
        2    0.000    0.000    1.543    0.772 client.py:1386(getresponse)
        2    0.000    0.000    1.543    0.771 client.py:324(begin)
       72    0.000    0.000    1.540    0.021 {method 'readline' of '_io.BufferedReader' objects}
        2    0.000    0.000    1.388    0.694 client.py:291(_read_status)
       22    0.001    0.000    0.631    0.029 __init__.py:1(<module>)
        4    0.000    0.000    0.492    0.123 models.py:890(content)
       22    0.001    0.000    0.492    0.022 {method 'join' of 'bytes' objects}
      261    0.000    0.000    0.491    0.002 models.py:816(generate)
      261    0.000    0.000    0.491    0.002 response.py:1227(stream)
      259    0.001    0.000    0.488    0.002 response.py:1364(read_chunked)
      236    0.002    0.000    0.479    0.002 {method 'read' of '_io.BufferedReader' objects}
       44    0.000    0.000    0.476    0.011 response.py:1342(_handle_chunk)
       67    0.000    0.000    0.476    0.007 client.py:635(_safe_read)
        2    0.000    0.000    0.328    0.164 connectionpool.py:1085(_validate_conn)
        1    0.000    0.000    0.328    0.328 connection.py:724(connect)
    223/3    0.001    0.000    0.251    0.084 <frozen importlib._bootstrap>:1349(_find_and_load)
    222/3    0.001    0.000    0.251    0.084 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    196/3    0.001    0.000    0.250    0.083 <frozen importlib._bootstrap>:911(_load_unlocked)
    168/3    0.000    0.000    0.250    0.083 <frozen importlib._bootstrap_external>:1020(exec_module)
    465/6    0.000    0.000    0.249    0.041 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.219    0.219 __init__.py:211(__init__)
        1    0.000    0.000    0.216    0.216 __init__.py:653(_feed)
        1    0.000    0.000    0.216    0.216 _htmlparser.py:433(feed)
        1    0.000    0.000    0.216    0.216 parser.py:104(feed)
        2    0.018    0.009    0.216    0.108 parser.py:134(goahead)
        1    0.000    0.000    0.176    0.176 connection.py:901(_ssl_wrap_socket_and_match_hostname)
        1    0.000    0.000    0.175    0.175 ssl_.py:413(ssl_wrap_socket)
        1    0.000    0.000    0.155    0.155 ssl_.py:511(_ssl_wrap_socket_impl)
        1    0.000    0.000    0.155    0.155 ssl.py:449(wrap_socket)
        1    0.000    0.000    0.155    0.155 ssl.py:990(_create)
        1    0.000    0.000    0.155    0.155 ssl.py:1365(do_handshake)
        1    0.155    0.155    0.155    0.155 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        2    0.000    0.000    0.154    0.077 client.py:245(parse_headers)
        1    0.000    0.000    0.152    0.152 connection.py:198(_new_conn)
        1    0.000    0.000    0.152    0.152 connection.py:27(create_connection)
        2    0.000    0.000    0.152    0.076 client.py:213(_read_headers)
        1    0.138    0.138    0.138    0.138 {method 'connect' of '_socket.socket' objects}
    28/15    0.000    0.000    0.135    0.009 {built-in method builtins.__import__}
     4163    0.027    0.000    0.130    0.000 parser.py:301(parse_starttag)
      326    0.002    0.000    0.112    0.000 __init__.py:330(_compile)
      318    0.000    0.000    0.111    0.000 __init__.py:287(compile)
    79/45    0.000    0.000    0.110    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      198    0.001    0.000    0.109    0.001 _compiler.py:743(compile)
        1    0.000    0.000    0.106    0.106 element.py:1(<module>)
      198    0.000    0.000    0.066    0.000 _parser.py:970(parse)
